ID	R	G	B
1	2	4	3
1	15	3	3
1	15	8	2
1	5	10	6
1	2	6	5
1	3	7	8
1	5	5	5
1	24	3	10
1	15	4	2
1	5	7	2
1	4	9	5
1	2	6	9
1	4	5	7
1	10	4	4
1	16	5	1
1	13	8	2
1	4	9	3
1	2	6	7
1	5	4	10
1	2	6	7
1	23	3	2
1	17	6	0
1	4	12	1
1	0	9	6
1	5	5	7
1	3	7	8
1	48	0	12
1	22	7	4
1	6	8	3
1	6	12	8
1	6	7	12
1	5	4	9
1	6	6	6
1	25	5	4
1	16	9	1
1	3	10	3
1	7	9	8
1	5	4	10
1	4	5	7
1	47	4	11
1	23	8	3
1	5	11	1
1	2	11	6
1	6	5	11
1	5	6	8
1	46	7	12
1	33	4	6
1	6	12	2
1	4	8	7
1	4	9	12
1	5	5	5
1	13	3	2
1	52	1	10
1	22	9	3
1	0	10	2
1	3	12	11
1	2	6	7
1	5	5	5
1	86	3	21
1	47	6	2
1	0	12	0
1	1	11	3
1	2	6	9
1	5	5	7
1	33	2	8
1	66	3	11
1	16	12	3
1	0	14	0
1	2	11	10
1	5	5	7
1	14	6	4
1	87	4	22
1	45	8	0
1	0	16	0
1	0	15	12
1	2	6	9
1	5	5	5
1	120	3	32
1	93	7	6
1	3	13	2
1	0	13	4
1	6	6	14
1	5	5	7
1	41	6	12
1	113	7	21
1	42	20	0
1	1	15	0
1	1	8	14
1	5	6	11
1	5	5	5
1	111	1	26
1	96	18	6
1	0	18	2
1	0	12	8
1	5	6	11
1	5	5	7
1	153	6	51
1	135	15	16
1	0	30	2
1	7	13	9
1	1	8	16
1	6	5	11
1	39	4	11
1	130	3	24
1	101	36	4
1	2	23	4
1	0	12	15
1	4	7	14
1	5	5	5
1	128	1	28
1	150	32	6
1	0	40	3
1	4	14	6
1	5	7	19
1	6	6	8
1	149	3	50
1	154	13	22
1	12	69	1
1	0	26	1
1	1	8	16
1	7	6	12
1	54	1	17
1	150	3	29
1	144	57	3
1	1	54	0
1	1	15	15
1	4	7	14
1	6	6	6
1	162	1	42
1	185	35	11
1	1	89	2
1	1	28	9
1	1	7	19
1	6	6	8
1	125	0	40
1	177	11	31
1	76	86	0
1	0	60	0
1	1	14	23
1	7	6	14
1	59	7	20
1	164	5	37
1	169	58	2
1	10	110	12
1	3	22	18
1	6	4	17
1	5	7	6
1	199	1	63
1	205	35	10
1	1	115	1
1	0	77	2
1	0	12	24
1	1	7	19
1	80	1	23
1	194	7	36
1	125	97	0
1	4	127	2
1	1	24	30
1	6	4	15
1	48	4	17
1	195	2	49
1	197	65	1
1	1	125	1
1	0	74	43
1	4	8	19
1	3	8	11
1	218	0	76
1	214	32	19
1	1	126	0
1	6	135	19
1	0	17	47
1	3	7	6
1	78	0	22
1	222	7	48
1	189	103	0
1	1	139	2
1	2	75	92
1	2	10	13
1	6	6	6
1	204	3	57
1	223	70	2
1	0	141	0
1	7	141	70
1	3	7	55
1	8	7	15
1	228	6	89
1	239	34	39
1	0	147	0
1	0	146	1
1	1	61	113
1	4	6	21
1	71	2	21
1	229	6	53
1	221	117	2
1	0	153	0
1	6	140	131
1	0	7	61
1	7	4	11
1	204	2	60
1	251	83	10
1	0	164	0
1	0	147	45
1	0	28	151
1	6	9	28
1	197	4	69
